x y z nx ny nz
-0.0259790501 -0.0336596812 -0.1051345957 -0.0899130000 -0.9777320000 0.1896190000
-0.0189790501 -0.0337496812 -0.1055235957 -0.0327410000 -0.9968350000 0.0724400000
-0.0107820501 -0.0337706812 -0.1052765957 -0.0029630000 -0.9995180000 0.0309190000
-0.0039500501 -0.0336466812 -0.1051085957 0.0247720000 -0.9995920000 -0.0142380000
-0.0479330501 -0.0269086812 -0.1055415957 -0.6946740000 -0.6842720000 0.2218110000
-0.0428220501 -0.0298056812 -0.1054765957 -0.3847720000 -0.8976310000 0.2149610000
-0.0347990501 -0.0319876812 -0.1054335957 -0.1584600000 -0.9696720000 0.1860810000
-0.0272130501 -0.0326846812 -0.1055075957 -0.0823920000 -0.9864380000 0.1419590000
-0.0187920501 -0.0329956812 -0.1055555957 -0.0312350000 -0.9982330000 0.0505540000
-0.0112080501 -0.0330476812 -0.1054455957 0.0006630000 -0.9999510000 -0.0099180000
-0.0027340501 -0.0328386812 -0.1054525957 0.0252590000 -0.9994900000 -0.0195290000
0.0052679499 -0.0326096812 -0.1056315957 0.0573340000 -0.9977900000 -0.0335990000
0.0132989499 -0.0322056812 -0.1054535957 0.1092790000 -0.9937560000 -0.0225430000
0.0210749499 -0.0310506812 -0.1053875957 0.1985800000 -0.9800310000 -0.0102680000
0.0291069499 -0.0290096812 -0.1054235957 0.3622010000 -0.9318690000 -0.0207320000
0.0343279499 -0.0267066812 -0.1053595957 0.5859790000 -0.8082680000 -0.0577280000
-0.0511440501 -0.0217616812 -0.1054225957 -0.8548120000 -0.4422820000 0.2714480000
0.0381839499 -0.0219876812 -0.1055145957 0.8560410000 -0.5132720000 -0.0611930000
-0.0538400501 -0.0136336812 -0.1054255957 -0.9437240000 -0.2193480000 0.2475320000
0.0407109499 -0.0148116812 -0.1055575957 0.9718430000 -0.2274570000 -0.0615160000
0.0415889499 -0.0122516812 -0.1054855957 0.9843520000 -0.1625640000 -0.0679980000
-0.0552060501 -0.0049716812 -0.1054665957 -0.9720780000 -0.0726210000 0.2231380000
-0.0546090501 -0.0064566812 -0.1051415957 -0.9362320000 -0.0927580000 0.3389170000
0.0420819499 -0.0059456812 -0.1055805957 0.9944950000 -0.0748920000 -0.0732840000
-0.0552450501 0.0020933188 -0.1056185957 -0.9811960000 0.0319900000 0.1903440000
-0.0546570501 0.0043753188 -0.1053205957 -0.9533450000 0.0597830000 0.2959050000
0.0423169499 0.0025933188 -0.1054635957 0.9968790000 0.0234000000 -0.0753920000
-0.0550160501 0.0078093188 -0.1053355957 -0.9717920000 0.0939510000 0.2163190000
-0.0543440501 0.0108183188 -0.1055235957 -0.9638020000 0.1453020000 0.2235470000
0.0409239499 0.0129463188 -0.1054485957 0.9766570000 0.1995340000 -0.0795420000
0.0419139499 0.0100153188 -0.1055685957 0.9904930000 0.1183070000 -0.0701970000
-0.0528070501 0.0179673188 -0.1054195957 -0.9283660000 0.2786300000 0.2459730000
0.0398919499 0.0185583188 -0.1053255957 0.9205970000 0.3853350000 -0.0633840000
0.0413379499 0.0150273188 -0.1055425957 0.9687220000 0.2404720000 -0.0612420000
-0.0492370501 0.0257623188 -0.1051515957 -0.7914280000 0.5427490000 0.2811870000
-0.0450710501 0.0294123188 -0.1056695957 -0.5403070000 0.7979490000 0.2671060000
0.0228209499 0.0300533188 -0.1057285957 0.2186350000 0.9757930000 0.0051870000
0.0292879499 0.0284933188 -0.1055185957 0.3596650000 0.9330190000 -0.0107640000
0.0360979499 0.0247943188 -0.1053975957 0.6650700000 0.7452990000 -0.0470120000
-0.0413140501 0.0314343188 -0.1055155957 -0.3509460000 0.9126550000 0.2095170000
-0.0345470501 0.0329043188 -0.1054725957 -0.1637400000 0.9625550000 0.2160490000
-0.0268850501 0.0332953188 -0.1055185957 -0.0766910000 0.9804180000 0.1813810000
-0.0187680501 0.0335713188 -0.1056115957 -0.0282700000 0.9954930000 0.0905220000
-0.0110090501 0.0333383188 -0.1055075957 0.0070840000 0.9994710000 0.0317480000
-0.0033510501 0.0332213188 -0.1055125957 0.0297590000 0.9995570000 -0.0003420000
0.0050599499 0.0328623188 -0.1055495957 0.0698010000 0.9970340000 -0.0324320000
0.0133029499 0.0321843188 -0.1055425957 0.1188720000 0.9925880000 -0.0252880000
0.0202409499 0.0310203188 -0.1054205957 0.1804880000 0.9835770000 -0.0001970000
-0.0259530501 -0.0336526812 -0.1026895957 -0.0944910000 -0.9767270000 0.1925510000
-0.0185880501 -0.0337746812 -0.1021465957 -0.0501680000 -0.9894540000 0.1358810000
-0.0111160501 -0.0337596812 -0.1011795957 -0.0201230000 -0.9939510000 0.1079690000
-0.0034860501 -0.0337636812 -0.1006165957 0.0105440000 -0.9969630000 0.0771540000
0.0033169499 -0.0336926812 -0.0999565957 0.0414020000 -0.9968000000 0.0683760000
-0.0476910501 -0.0267036812 -0.1025145957 -0.6172290000 -0.6551440000 0.4356780000
-0.0426160501 -0.0283196812 -0.1004215957 -0.4014620000 -0.7966150000 0.4519220000
-0.0349670501 -0.0305136812 -0.1001925957 -0.1872150000 -0.9120690000 0.3648010000
-0.0270500501 -0.0317276812 -0.0999805957 -0.1236000000 -0.9467290000 0.2973690000
-0.0189550501 -0.0324336812 -0.0998065957 -0.0753880000 -0.9731920000 0.2172900000
-0.0108560501 -0.0326916812 -0.0993935957 -0.0328310000 -0.9867310000 0.1590070000
-0.0028770501 -0.0328496812 -0.0995205957 0.0052020000 -0.9939000000 0.1101600000
0.0051959499 -0.0327976812 -0.0998005957 0.0460340000 -0.9961270000 0.0749120000
0.0130989499 -0.0323156812 -0.1000905957 0.1050300000 -0.9933330000 0.0475180000
0.0211059499 -0.0311046812 -0.1004275957 0.1996840000 -0.9797070000 0.0173040000
0.0292219499 -0.0289196812 -0.1004625957 0.3538830000 -0.9352820000 0.0037870000
0.0345349499 -0.0265466812 -0.1002415957 0.5870540000 -0.8094470000 -0.0128060000
-0.0494690501 -0.0212216812 -0.1006105957 -0.7420900000 -0.3984530000 0.5390160000
-0.0455020501 -0.0236706812 -0.0981055957 -0.6647430000 -0.5363930000 0.5200000000
0.0385299499 -0.0217346812 -0.1004225957 0.8682310000 -0.4953320000 -0.0286350000
-0.0552420501 -0.0124076812 -0.1025825957 -0.7384870000 -0.3523690000 0.5748680000
-0.0517000501 -0.0137496812 -0.1001225957 -0.8231600000 -0.2138360000 0.5260060000
0.0407429499 -0.0157676812 -0.1005215957 0.9619800000 -0.2690680000 -0.0468730000
0.0417239499 -0.0124546812 -0.1002765957 0.9832420000 -0.1746620000 -0.0522290000
-0.0551630501 -0.0046976812 -0.1032095957 -0.9257620000 -0.0683890000 0.3718710000
-0.0527100501 -0.0057046812 -0.0997235957 -0.8477820000 -0.0749070000 0.5250280000
0.0424489499 -0.0055406812 -0.1004935957 0.9954090000 -0.0687740000 -0.0665600000
-0.0551890501 0.0021093188 -0.1031215957 -0.9267840000 0.0248770000 0.3747690000
-0.0527480501 0.0025423188 -0.0995565957 -0.8449880000 0.0361610000 0.5335610000
0.0426559499 0.0024263188 -0.1005025957 0.9974640000 0.0214960000 -0.0678480000
-0.0550590501 0.0075163188 -0.1037145957 -0.9251710000 0.0854510000 0.3698070000
-0.0522940501 0.0105333188 -0.1000615957 -0.8413070000 0.1373940000 0.5228050000
0.0409409499 0.0137993188 -0.1014085957 0.9740230000 0.2203310000 -0.0522890000
0.0420909499 0.0103583188 -0.1004425957 0.9881790000 0.1430430000 -0.0551450000
-0.0504290501 0.0183493188 -0.1002265957 -0.7965850000 0.2846770000 0.5333020000
-0.0463120501 0.0213893188 -0.0973975957 -0.7800720000 0.4466390000 0.4381790000
0.0398349499 0.0190763188 -0.1006065957 0.9170720000 0.3973540000 -0.0329900000
0.0414519499 0.0154843188 -0.0997055957 0.9414760000 0.3354070000 -0.0335430000
-0.0485780501 0.0248623188 -0.1015555957 -0.7252170000 0.4555080000 0.5163070000
-0.0438190501 0.0274133188 -0.0995535957 -0.5452340000 0.6744680000 0.4978080000
-0.0357790501 0.0296073188 -0.0982215957 -0.2449560000 0.9080520000 0.3397610000
-0.0290350501 0.0301363188 -0.0976835957 -0.1577520000 0.9520440000 0.2621590000
0.0229789499 0.0300783188 -0.1002005957 0.2151120000 0.9762080000 0.0272970000
0.0292419499 0.0284763188 -0.1005675957 0.3236890000 0.9460660000 0.0135640000
0.0360469499 0.0248033188 -0.1003415957 0.6644050000 0.7473410000 -0.0069530000
-0.0409130501 0.0313093188 -0.1024365957 -0.3368440000 0.8611010000 0.3808420000
-0.0347530501 0.0318483188 -0.1009935957 -0.2104650000 0.9038570000 0.3724880000
-0.0269160501 0.0324843188 -0.1001885957 -0.1210800000 0.9528250000 0.2783220000
-0.0189880501 0.0330523188 -0.1002265957 -0.0613530000 0.9793710000 0.1925330000
-0.0110830501 0.0332793188 -0.0999135957 -0.0189770000 0.9916920000 0.1272280000
-0.0029990501 0.0332383188 -0.0998915957 0.0193050000 0.9965800000 0.0803500000
0.0050979499 0.0329003188 -0.1000105957 0.0630280000 0.9965130000 0.0546780000
0.0130779499 0.0321503188 -0.1006115957 0.1194440000 0.9920620000 0.0393140000
0.0197369499 0.0312023188 -0.1005045957 0.1736120000 0.9842420000 0.0335530000
0.0256889499 0.0306873188 -0.0996025957 0.2408820000 0.9698180000 0.0377990000
-0.0406180501 -0.0267086812 -0.0925195957 -0.4668920000 -0.8783580000 0.1024660000
-0.0348780501 -0.0285816812 -0.0926745957 -0.2393620000 -0.9676240000 0.0800590000
-0.0269070501 -0.0301816812 -0.0924525957 -0.1640490000 -0.9834570000 0.0768120000
-0.0189070501 -0.0313546812 -0.0925115957 -0.1065160000 -0.9919300000 0.0687710000
-0.0108320501 -0.0320066812 -0.0924115957 -0.0468440000 -0.9970770000 0.0603650000
-0.0027590501 -0.0322166812 -0.0926045957 0.0031100000 -0.9979310000 0.0642160000
0.0052249499 -0.0319996812 -0.0928755957 0.0531140000 -0.9945540000 0.0896730000
0.0131549499 -0.0314206812 -0.0929725957 0.1038710000 -0.9863730000 0.1275890000
0.0211499499 -0.0303656812 -0.0928015957 0.1637520000 -0.9769930000 0.1366360000
0.0289859499 -0.0286726812 -0.0923115957 0.2881290000 -0.9544770000 0.0771680000
0.0344869499 -0.0265936812 -0.0923415957 0.5518940000 -0.8338580000 0.0096660000
-0.0471990501 -0.0184336812 -0.0932335957 -0.9041220000 -0.4040770000 0.1388730000
-0.0448150501 -0.0223176812 -0.0926405957 -0.8024880000 -0.5839920000 0.1223400000
0.0385229499 -0.0220176812 -0.0923875957 0.8469160000 -0.5314830000 -0.0160790000
0.0411629499 -0.0175596812 -0.0922465957 0.9568890000 -0.2882270000 -0.0358920000
-0.0486020501 -0.0136926812 -0.0925835957 -0.9555570000 -0.2729030000 0.1115140000
0.0408399499 -0.0164546812 -0.0924925957 0.9549170000 -0.2945450000 -0.0371130000
0.0419899499 -0.0128936812 -0.0922425957 0.9774270000 -0.2062280000 -0.0459040000
-0.0501350501 -0.0055886812 -0.0925095957 -0.9879770000 -0.1133050000 0.1051810000
0.0429539499 -0.0056026812 -0.0923495957 0.9949010000 -0.0806080000 -0.0606210000
-0.0503240501 0.0024483188 -0.0926905957 -0.9925280000 0.0465710000 0.1127770000
0.0431699499 0.0023163188 -0.0925435957 0.9977310000 0.0265320000 -0.0618840000
-0.0494160501 0.0104323188 -0.0926825957 -0.9788170000 0.1708280000 0.1128480000
0.0424729499 0.0104973188 -0.0924175957 0.9857000000 0.1611540000 -0.0492390000
-0.0478580501 0.0168613188 -0.0925555957 -0.9428670000 0.3152790000 0.1077080000
-0.0460520501 0.0207033188 -0.0925035957 -0.8840930000 0.4521480000 0.1180750000
0.0398019499 0.0195883188 -0.0926995957 0.8968240000 0.4419900000 -0.0187250000
0.0414969499 0.0158063188 -0.0923685957 0.9540470000 0.2978290000 -0.0330360000
-0.0426760501 0.0255343188 -0.0925585957 -0.7081790000 0.6965180000 0.1155270000
-0.0350430501 0.0291343188 -0.0924085957 -0.2575410000 0.9594600000 0.1144950000
-0.0273890501 0.0299403188 -0.0918755957 -0.1618950000 0.9811340000 0.1056730000
-0.0227200501 0.0303023188 -0.0902315957 -0.1423200000 0.9859070000 0.0879360000
0.0148619499 0.0302643188 -0.0905755957 0.1360220000 0.9878420000 0.0752720000
0.0215849499 0.0296563188 -0.0923255957 0.1780350000 0.9777390000 0.1110440000
0.0292359499 0.0282133188 -0.0923955957 0.2862130000 0.9552850000 0.0742470000
0.0359959499 0.0249143188 -0.0921695957 0.6240540000 0.7812880000 0.0120750000
-0.0314000501 0.0304993188 -0.0940765957 -0.1998230000 0.9727110000 0.1179150000
-0.0266310501 0.0311993188 -0.0927775957 -0.1649080000 0.9820090000 0.0919990000
-0.0188820501 0.0317773188 -0.0923155957 -0.0990990000 0.9920050000 0.0781410000
-0.0109420501 0.0323613188 -0.0925655957 -0.0387870000 0.9967990000 0.0699080000
-0.0030160501 0.0324413188 -0.0927655957 0.0107170000 0.9971930000 0.0741080000
0.0051949499 0.0320563188 -0.0926295957 0.0622040000 0.9944860000 0.0844270000
0.0128689499 0.0314243188 -0.0930655957 0.1193400000 0.9866160000 0.1111160000
0.0198189499 0.0310283188 -0.0937065957 0.1543930000 0.9800600000 0.1250800000
0.0260879499 0.0305313188 -0.0947015957 0.2277880000 0.9698080000 0.0870970000
-0.0403440501 -0.0264296812 -0.0846755957 -0.4607930000 -0.8860850000 0.0502320000
-0.0348570501 -0.0283116812 -0.0844795957 -0.2452160000 -0.9677370000 0.0579180000
-0.0267820501 -0.0298806812 -0.0844775957 -0.1646980000 -0.9849590000 0.0522590000
-0.0188000501 -0.0310386812 -0.0844405957 -0.1123650000 -0.9924520000 0.0491330000
