x y z nx ny nz
-0.0012420779 -0.1014984652 -0.0278986501 0.0302880000 -0.9992170000 0.0254530000
0.0057639221 -0.1013514652 -0.0276186501 0.0252630000 -0.9994900000 0.0195380000
0.0137119221 -0.1010864652 -0.0281276501 0.0182800000 -0.9998310000 -0.0020900000
0.0225189221 -0.1008524652 -0.0279306501 0.0278850000 -0.9994140000 0.0198580000
0.0287369221 -0.1008944652 -0.0279586501 0.0275630000 -0.9994680000 0.0174120000
0.0372549221 -0.1004874652 -0.0277866501 0.0647620000 -0.9978910000 -0.0044060000
0.0432959221 -0.0995944652 -0.0280116501 0.3325410000 -0.9364720000 -0.1115180000
0.0507009221 -0.0912034652 -0.0276276501 0.8857520000 -0.4002660000 -0.2350130000
0.0474159221 -0.0897524652 -0.0276886501 0.8643810000 0.1958400000 -0.4631330000
0.0523579221 -0.0877744652 -0.0279576501 0.9158380000 -0.2587540000 -0.3070620000
0.0689509221 0.0460535348 -0.0278816501 0.6785440000 -0.4544570000 -0.5771020000
0.0735079221 0.0610515348 -0.0274636501 0.7645370000 0.2273690000 -0.6031470000
0.0704739221 0.0652815348 -0.0280156501 0.6988190000 0.3937050000 -0.5972000000
-0.0112520779 0.0765445348 -0.0284466501 -0.1261120000 0.9599380000 -0.2502280000
-0.0020680779 0.0775735348 -0.0281306501 -0.0061590000 0.9945740000 -0.1038540000
0.0053339221 0.0775015348 -0.0280796501 0.0163790000 0.9906000000 -0.1358090000
0.0128589221 0.0756975348 -0.0285376501 0.1270720000 0.9605700000 -0.2473020000
-0.0468950779 -0.0988734652 -0.0197646501 -0.8350380000 -0.4783710000 -0.2717940000
-0.0425950779 -0.1012434652 -0.0217256501 -0.3267630000 -0.9314540000 -0.1600610000
-0.0347430779 -0.1022044652 -0.0220296501 0.0202360000 -0.9997810000 -0.0052460000
-0.0266220779 -0.1020804652 -0.0223526501 0.0262100000 -0.9996370000 0.0062430000
-0.0186270779 -0.1018924652 -0.0224276501 0.0320140000 -0.9992800000 0.0203710000
-0.0107560779 -0.1015664652 -0.0225246501 0.0385160000 -0.9967230000 0.0711350000
-0.0027340779 -0.1013984652 -0.0227966501 0.0239830000 -0.9963560000 0.0818560000
0.0052399221 -0.1012164652 -0.0229016501 0.0242300000 -0.9962780000 0.0827200000
0.0132749221 -0.1010484652 -0.0230946501 0.0241930000 -0.9961040000 0.0848050000
