x y z nx ny nz
0.0355061783 -0.0534143023 -0.0080116202 -0.4106060000 -0.8848200000 -0.2202190000
0.0407321783 -0.0543633023 -0.0084786202 -0.0343920000 -0.9820830000 -0.1852860000
0.0500071783 -0.0526373023 -0.0078396202 0.5611480000 -0.7803010000 -0.2761210000
0.0279431783 -0.0466823023 -0.0081486202 -0.6946330000 -0.6910200000 -0.1999400000
0.0314331783 -0.0499083023 -0.0084226202 -0.6690360000 -0.7370270000 -0.0958270000
0.0529961783 -0.0496303023 -0.0082286202 0.7375530000 -0.6097520000 -0.2902030000
0.0552851783 -0.0454493023 -0.0085936202 0.9035440000 -0.3957530000 -0.1642790000
0.0200701783 -0.0390223023 -0.0084116202 -0.6695510000 -0.7100370000 -0.2180550000
0.0231161783 -0.0420943023 -0.0085726202 -0.6842850000 -0.7143230000 -0.1466200000
0.0566241783 -0.0390233023 -0.0084566202 0.9642570000 0.0241890000 -0.2638640000
0.0116401783 -0.0310113023 -0.0086996202 -0.6684630000 -0.7201280000 -0.1859400000
0.0164361783 -0.0352353023 -0.0089186202 -0.6701400000 -0.7132660000 -0.2053380000
0.0535251783 -0.0310003023 -0.0090056202 0.7553050000 0.5794810000 -0.3061310000
0.0556451783 -0.0343093023 -0.0086716202 0.8717340000 0.3961450000 -0.2883570000
0.0028421783 -0.0228783023 -0.0087416202 -0.7582890000 -0.6302790000 -0.1665710000
0.0071351783 -0.0270823023 -0.0083146202 -0.6620400000 -0.7302700000 -0.1685460000
0.0458231783 -0.0242263023 -0.0093566202 0.6713270000 0.7019440000 -0.2378980000
0.0486961783 -0.0260853023 -0.0081466202 0.6552690000 0.7139740000 -0.2467070000
-0.0026878217 -0.0143773023 -0.0083086202 -0.8312470000 -0.5381080000 -0.1395260000
-0.0006338217 -0.0173773023 -0.0089836202 -0.8411220000 -0.5157590000 -0.1628090000
0.0345651783 -0.0122523023 -0.0080886202 0.6820040000 0.7011040000 -0.2081430000
0.0402281783 -0.0182263023 -0.0086996202 0.6808500000 0.7016450000 -0.2100900000
-0.0100498217 -0.0043523023 -0.0084576202 -0.8167910000 -0.5745070000 -0.0528560000
-0.0071338217 -0.0080053023 -0.0085776202 -0.8036180000 -0.5844610000 -0.1122640000
0.0273741783 -0.0051093023 -0.0082906202 0.6966610000 0.7038010000 -0.1390270000
0.0317931783 -0.0102143023 -0.0091626202 0.6864260000 0.7040760000 -0.1819210000
-0.0178138217 0.0036076977 -0.0087716202 -0.6684170000 -0.7394400000 0.0802990000
-0.0141988217 0.0005316977 -0.0086156202 -0.7597090000 -0.6484840000 0.0480740000
0.0133561783 0.0035336977 -0.0095356202 0.5214700000 0.8370170000 -0.1657490000
0.0176691783 0.0015886977 -0.0085936202 0.4945330000 0.8534500000 -0.1644980000
0.0246541783 -0.0027743023 -0.0089816202 0.6121290000 0.7637180000 -0.2050210000
-0.0286438217 0.0112846977 -0.0085956202 -0.4776680000 -0.8779460000 -0.0323170000
-0.0209018217 0.0066926977 -0.0085006202 -0.5781810000 -0.8141500000 0.0535410000
-0.0175248217 0.0046586977 -0.0090046202 -0.6473150000 -0.7601560000 0.0560900000
