x y z nx ny nz
-0.0947284958 0.0530663139 -0.0179646861 -0.9885680000 0.1502300000 -0.0127940000
-0.0928894958 0.0522893139 -0.0180546861 0.7593400000 -0.6488620000 -0.0487990000
-0.0928304958 0.0567143139 -0.0180856861 -0.9845440000 -0.1546270000 -0.0822460000
0.0114415042 0.1327253139 -0.0186626861 0.9275470000 0.3571480000 -0.1100080000
0.0090745042 0.1379903139 -0.0182496861 0.9143850000 0.3833050000 -0.1302940000
0.0101015042 0.1369803139 -0.0179296861 0.9143440000 0.3829170000 -0.1317170000
0.0546185042 -0.1808476861 -0.0109176861 -0.6926990000 -0.6928510000 -0.2003120000
0.0620445042 -0.1817506861 -0.0124686861 0.3406800000 -0.9401770000 0.0020230000
0.0690205042 -0.1790656861 -0.0135396861 0.3620970000 -0.9321050000 -0.0081070000
0.0738475042 -0.1777696861 -0.0135456861 0.3594740000 -0.9331450000 -0.0044380000
0.0530945042 -0.1745836861 -0.0124256861 -0.9099000000 -0.3045430000 -0.2816670000
0.0726855042 -0.1773376861 -0.0129906861 0.3587660000 -0.9334070000 -0.0061650000
0.0770745042 -0.1759436861 -0.0134016861 0.3697490000 -0.9290970000 -0.0080660000
0.0833255042 -0.1729826861 -0.0119636861 0.7504990000 -0.6329860000 -0.1899470000
0.0490555042 -0.1659746861 -0.0105846861 -0.9313520000 -0.2979260000 -0.2093430000
0.0511585042 -0.1672416861 -0.0124036861 -0.9212420000 -0.3074310000 -0.2383280000
0.0808715042 -0.1625516861 -0.0126026861 0.8871490000 0.3699310000 -0.2758930000
0.0830775042 -0.1662486861 -0.0113226861 0.9084780000 0.3361420000 -0.2483480000
0.0463885042 -0.1566146861 -0.0106796861 -0.9250240000 -0.3093740000 -0.2204960000
0.0791845042 -0.1576826861 -0.0117556861 0.8945410000 0.3750710000 -0.2431410000
0.0818145042 -0.1615416861 -0.0100386861 0.9190520000 0.3738460000 -0.1248280000
0.0444155042 -0.1513756861 -0.0106656861 -0.9254270000 -0.3170060000 -0.2075850000
0.0759965042 -0.1495066861 -0.0111096861 0.9012070000 0.3742890000 -0.2184820000
0.0402515042 -0.1402046861 -0.0099206861 -0.9239710000 -0.3104050000 -0.2234420000
0.0427875042 -0.1442056861 -0.0113256861 -0.9217680000 -0.2980030000 -0.2480680000
0.0718625042 -0.1400026861 -0.0110596861 0.8900270000 0.3893280000 -0.2372260000
0.0736985042 -0.1440876861 -0.0110726861 0.8940140000 0.3843580000 -0.2302350000
0.0385875042 -0.1345266861 -0.0103226861 -0.9129730000 -0.3307830000 -0.2388800000
0.0691165042 -0.1335846861 -0.0108766861 0.8940100000 0.3850060000 -0.2291630000
0.0362185042 -0.1270426861 -0.0105596861 -0.9086280000 -0.3536020000 -0.2221740000
0.0628755042 -0.1242466861 -0.0131056861 0.8431260000 0.3461980000 -0.4114440000
