x y z normal_x normal_y normal_z
-0.0312439817 -0.0056825626 -0.0280868963 0.1416617762 0.0433506420 -0.9887515029
0.0308512014 0.0278550877 -0.0107919987 -0.7885124259 -0.6135382108 0.0330502936
-0.0154749404 0.0458179756 0.0277665474 -0.3490414447 0.9368865099 -0.0000000000
0.0194371649 -0.0363413252 -0.0130707095 0.4321102689 -0.9014381540 -0.0000000000
0.0048497776 0.0313839690 -0.0276469198 -0.0095774087 -0.0534641669 -0.9985300675
-0.0248060276 -0.0331280700 0.0189483995 -0.5578576009 -0.8295854118 -0.0000000000
-0.0118049712 0.0080433695 -0.0273724483 0.0030089084 -0.0006387792 -1.0000000000
0.0288365136 -0.0295947092 0.0397424322 0.4111322120 -0.4786360611 0.7644563878
0.0026117452 -0.0345191784 -0.0299856620 -0.0391058290 0.6033079998 -0.7953580461
-0.0274096351 0.0307576962 -0.0180614440 0.7061513826 -0.6875980418 0.1631196929
0.0107711232 -0.0396085781 -0.0080090325 0.2940666826 -0.9555672612 0.0169632227
0.0288304706 0.0381868727 0.0157666690 0.6422876657 0.7660627232 -0.0000000000
0.0212931910 -0.0353980761 -0.0201691637 0.4736617670 -0.8803454298 -0.0000000000
-0.0273717959 -0.0312195958 -0.0291597880 -0.6132231760 -0.7842286317 -0.0841474464
-0.0267877342 0.0396096678 -0.0223322039 -0.6022500800 0.7979193258 -0.0000000000
-0.0321899755 -0.0269015943 0.0277500690 -0.7230762140 -0.6902918080 -0.0000000000
0.0071892019 -0.0706867382 -0.0003436256 0.9172943580 -0.3505251962 -0.1180636795
0.0387060309 0.0086416833 -0.0124217164 -0.9910558266 -0.1206108152 0.0472376459
0.0022282347 0.0423330513 -0.0180418892 -0.0539967154 -0.9844576744 0.1624802524
0.0127831559 0.0409726188 0.0158538848 -0.3233203482 -0.9460167051 0.0008729362
-0.0374483658 -0.0069628591 0.0143064958 0.9600239653 0.2786705763 0.0000081154
0.0072269909 -0.0344364471 -0.0057926615 -0.1817423426 0.9828262625 0.0167388232
-0.0186568828 -0.0220508188 -0.0237249191 0.0313180673 0.0432234905 0.9975619991
-0.0072888797 0.0031339471 -0.0273660239 0.0002787059 0.0000020073 -1.0000000000
0.0296717617 0.0143675175 -0.0279150221 -0.1026455686 -0.0366620667 -0.9936192886
-0.0029871434 0.0485175048 0.0066269210 -0.0697094380 0.9972378349 -0.0000000000
0.0296552671 0.0034645664 -0.0237360847 0.0240410668 -0.0004385671 0.9997050642
-0.0423239842 0.0179109167 -0.0123285670 -0.9498887755 0.3124190793 -0.0000000000
0.0014638588 0.0430094369 -0.0010767326 -0.0342504591 -0.9990485038 0.0094129084
-0.0070422564 -0.0589708560 -0.0112047398 -0.9611581695 -0.0584582178 -0.1689229178
0.0439646926 0.0125817747 -0.0255202244 0.9808432724 0.1932120480 -0.0000000000
-0.0179691726 0.0448101926 -0.0223447366 -0.4048672794 0.9142611142 -0.0000000000
-0.0327463714 -0.0150391311 -0.0296052273 0.4354692376 0.2515746796 -0.8618789459
0.0391721917 0.0202839209 0.0398834800 -0.3237012499 -0.1376670137 0.9258134179
-0.0220370567 0.0262416248 -0.0279266357 0.0787078811 -0.0793497478 -0.9932903687
0.0431404807 0.0002027198 -0.0317706081 0.2761801234 -0.0229676737 -0.9563453572
-0.0208077912 -0.0106976251 -0.0275542810 0.0309786552 0.0212149524 -0.9992267220
-0.0339281241 -0.0249721261 -0.0027065984 -0.7619914705 -0.6470506936 -0.0000000000
0.0282120938 -0.0308132736 -0.0281593423 0.6283933994 -0.7776177841 -0.0152971483
-0.0162659841 -0.0376206534 -0.0260392973 -0.3667385274 -0.9300955782 -0.0000000000
0.0060590048 0.0428439776 0.0286206516 -0.1502995367 -0.9862059345 0.0675583215
0.0345677686 -0.0097314150 -0.0219827239 -0.7109754851 0.2825165175 0.6410338119
0.0153210541 -0.0316512067 -0.0156048951 -0.3910313772 0.9161699084 0.0827908595
0.0389363243 0.0013082650 -0.0116851387 -0.9964866374 0.0677011062 0.0395937558
0.0051135605 0.0483537906 0.0193252488 0.1115408481 0.9935774819 -0.0000000000
0.0272693618 -0.0241323985 -0.0045308268 -0.6947123212 0.7187716591 0.0141225660
-0.0342684873 0.0324683736 0.0191508330 -0.7696272487 0.6381385553 -0.0000000000
0.0228999590 0.0025656333 -0.0274797350 -0.0233788470 0.0029791750 -0.9997089184
-0.0181588066 -0.0306460749 0.0116440294 0.4672702637 0.8838266384 0.0006444781
0.0240794720 0.0107368333 -0.0235139929 0.0492665542 0.0139554823 0.9986758477
-0.0378499306 0.0274785752 -0.0280614715 -0.8496411725 0.5265301144 -0.0113799483
0.0070899179 -0.0449107409 0.0255781459 0.8867226738 -0.0222052575 -0.4458475652
0.0061340372 -0.0697441896 -0.0053788208 0.6031616205 -0.6578145274 -0.4267909438
-0.0020838714 -0.0736035906 0.0143654117 -0.1360542698 -0.9598001766 0.2374958603
-0.0037338325 -0.0622560849 -0.0058269662 -0.2455345502 0.5631096244 0.7820995817
-0.0441822916 0.0096707924 -0.0019575902 -0.9914167041 0.1280780171 -0.0000000000
-0.0006465063 -0.0675000300 0.0058932643 -0.0386527231 0.9950298927 0.0619868291
-0.0267969552 -0.0115254855 -0.0278821148 0.0880385122 0.0505518193 -0.9945512799
0.0063282591 -0.0403745838 0.0145539048 0.1361595398 -0.9901413857 -0.0180156949
0.0390929482 0.0064941236 -0.0051644303 -0.9974915612 -0.0651689839 0.0149864843
0.0014959553 -0.0271535525 -0.0237531624 -0.0008327218 0.0123093219 0.9997863985
-0.0363600578 -0.0218422409 0.0027012461 -0.8163724758 -0.5770651130 -0.0000000000
-0.0074387249 0.0416931326 -0.0174964289 0.1941702501 -0.9688582406 0.1446437717
-0.0082507884 0.0478325644 0.0118381079 -0.1874376261 0.9819143407 -0.0000000000
0.0374170801 -0.0206730471 0.0323022289 0.8343134263 -0.5509416034 -0.0000000000
-0.0265915822 0.0397601638 0.0200691851 -0.5978535687 0.8012906887 -0.0000000000
0.0076389800 0.0410391610 -0.0206275237 -0.1837472036 -0.9070915431 0.3764811738
-0.0445396901 0.0029753289 0.0179258204 -0.9994182307 -0.0217333349 -0.0000000000
0.0114954410 -0.0393086064 0.0137309185 0.2659525978 -0.9637899304 -0.0056029807
0.0028082937 -0.0525145286 -0.0086230915 0.1513819688 0.0711052906 0.9832761882
-0.0429588862 0.0157982769 0.0062952966 -0.9640270956 0.2650653616 -0.0000000000
0.0087224173 0.0351977570 -0.0237091797 -0.0185137336 -0.0686608787 0.9964295255
-0.0279415962 0.0297961164 -0.0297361787 0.3950626167 -0.3649116287 -0.8389814370
0.0066064043 0.0108376703 -0.0273661051 -0.0006812457 -0.0007552645 -1.0000000000
-0.0319610355 0.0263334079 0.0073036807 0.8198402894 -0.5720156892 0.0020602644
-0.0071008566 -0.0707072530 0.0089793275 -0.9849869011 0.0627080597 0.0003138177
-0.0443177376 0.0086443211 0.0195603306 -0.9944266230 0.1050609796 -0.0000000000
-0.0352359559 0.0205209516 -0.0043716673 0.9050813521 -0.4241805013 0.0139055518
-0.0445293810 0.0025800216 -0.0169693328 -0.9991816220 -0.0305723976 -0.0000000000
0.0388188187 0.0097019606 0.0032898482 -0.9889260622 -0.1471241119 0.0047851221
0.0028985552 -0.0727386204 0.0168621736 0.1781430212 -0.9204795148 0.3388420644
-0.0383407525 -0.0065051984 0.0334347479 0.9544792613 0.2593403201 0.1458980839
-0.0387925516 -0.0180034990 0.0305986051 -0.8708054020 -0.4911388259 -0.0000000000
-0.0227247468 0.0423422873 -0.0273709549 -0.5113055552 0.8590797816 -0.0038559379
0.0371503722 -0.0210613336 0.0224065185 0.8283552799 -0.5596171580 -0.0000000000
0.0408845486 0.0222749262 -0.0022006955 0.9119060091 0.4100438429 -0.0000000000
-0.0004206010 0.0048926728 -0.0273660239 0.0000205993 -0.0000273482 -1.0000000000
-0.0203821454 -0.0296572133 0.0289733077 0.5192617271 0.8509523074 0.0729395669
-0.0017284515 0.0430257786 0.0038636763 0.0474861670 -0.9987312912 0.0043955692
-0.0364680806 0.0178190633 0.0081284790 0.9350061607 -0.3544305957 0.0015003362
0.0202501502 0.0346800723 -0.0290279649 -0.1977012021 -0.3020166862 -0.9319510525
-0.0265870499 0.0325367394 0.0185043177 0.6824999957 -0.7304405022 0.0023542377
0.0338314761 0.0332770378 -0.0215450774 0.7541267263 0.6562300709 -0.0000000000
0.0291065598 0.0377619138 0.0391083625 0.6098248006 0.7125220229 0.3236131965
-0.0349707957 -0.0237032848 0.0159413657 -0.7853455100 -0.6186698479 -0.0000000000
0.0265720949 0.0399699343 0.0010467916 0.5917254426 0.8059899003 -0.0000000000
-0.0277570071 -0.0003099733 -0.0236832968 -0.0387883235 -0.0058716214 0.9991709680
-0.0137392965 -0.0228857904 -0.0278065443 0.0392044581 0.0759504193 -0.9962497231
-0.0339221609 -0.0245267282 -0.0304517005 -0.7206401050 -0.6021874160 -0.3389442181
0.0344642916 0.0226729695 0.0029734811 -0.8776178480 -0.4785766661 0.0049998932
0.0058766404 -0.0347206324 -0.0006650794 -0.1469834934 0.9889019340 0.0088516192
-0.0278022156 0.0373238575 0.0399965892 -0.1309573329 0.1537164655 0.9679050277
-0.0361671189 0.0300177377 0.0257051094 -0.8120623003 0.5833410854 -0.0000000000
-0.0086342604 0.0420824417 0.0154259879 0.2238559565 -0.9742830868 0.0006337887
0.0093251246 -0.0341618257 0.0257226967 -0.2344332121 0.9712546113 0.0321679020
0.0398005426 -0.0166142822 0.0294662964 0.8876976235 -0.4599895460 -0.0000000000
0.0155901707 -0.0357710396 0.0399791919 -0.0798237776 0.2081136259 0.9700668646
-0.0359238184 0.0184583965 -0.0124554671 0.9261273294 -0.3728114550 0.0475878970
-0.0129278172 0.0466764071 -0.0240341513 -0.2921164189 0.9560875566 -0.0000000000
0.0042539963 0.0438348193 0.0349268757 -0.1012993126 -0.9790628513 0.1762438093
-0.0014495172 0.0432649282 0.0287001393 0.0400436074 -0.9965608051 0.0687712386
-0.0025252599 -0.0723053337 -0.0030984219 -0.1692108371 -0.9012984320 -0.3879758580
-0.0067614251 -0.0683020857 -0.0058279475 -0.8574755825 -0.3956910252 -0.2860457941
-0.0439448426 -0.0034228580 -0.0137555900 -0.9861180884 -0.1649697528 -0.0000000000
0.0118219716 -0.0333951653 0.0094321453 -0.2988017971 0.9541126328 0.0011828239
-0.0137711887 -0.0281237654 -0.0284880950 0.0952239567 0.2190178690 -0.9707344784
0.0308829094 -0.0155625368 -0.0225287022 -0.5190282952 0.3303480352 0.7721775415
-0.0351806713 0.0180348656 -0.0199768369 0.8776332419 -0.3500112227 0.3133607827
0.0443574051 -0.0023734272 0.0036440080 0.9896654138 -0.1414702439 -0.0000000000
0.0108915320 -0.0341951798 0.0317051337 -0.2697739716 0.9555116413 0.1157464579
-0.0344089099 0.0323040237 0.0355345947 -0.7727775168 0.6344617035 -0.0000000000
