x y z nx ny nz
0.0045461039 -0.0299354677 -0.0825644602 -0.2074990000 -0.9766510000 -0.0556480000
0.0101621039 -0.0307734677 -0.0826274602 -0.1403960000 -0.9884530000 -0.0570050000
0.0171371039 -0.0309414677 -0.0828224602 -0.0502750000 -0.9981370000 -0.0345670000
0.0271381039 -0.0308744677 -0.0828344602 0.1079990000 -0.9936890000 -0.0303210000
0.0319721039 -0.0302354677 -0.0825844602 0.1343620000 -0.9839080000 -0.1177820000
-0.0144818961 -0.0232334677 -0.0827464602 -0.4338560000 -0.9003870000 -0.0327450000
-0.0052058961 -0.0269594677 -0.0828524602 -0.3155560000 -0.9477510000 -0.0468160000
0.0031291039 -0.0291434677 -0.0828584602 -0.1969980000 -0.9782680000 -0.0646720000
0.0361511039 -0.0268664677 -0.0828134602 0.7969430000 -0.5588410000 -0.2293020000
-0.0280068961 -0.0152424677 -0.0829694602 -0.5547710000 -0.8311430000 -0.0378210000
-0.0217848961 -0.0193714677 -0.0827054602 -0.4976980000 -0.8666140000 -0.0357330000
-0.0174388961 -0.0213484677 -0.0826794602 -0.4482780000 -0.8938090000 -0.0123560000
-0.0365178961 -0.0079124677 -0.0829404602 -0.6786140000 -0.7316820000 -0.0642240000
-0.0321168961 -0.0123544677 -0.0825564602 -0.6502830000 -0.7539880000 -0.0929180000
0.0447621039 -0.0076034677 -0.0823454602 0.9604160000 0.0333340000 -0.2765660000
-0.0434608961 -0.0000984677 -0.0828374602 -0.7916550000 -0.6072210000 -0.0675720000
-0.0407318961 -0.0035684677 -0.0831144602 -0.7665220000 -0.6321610000 -0.1132050000
0.0430861039 -0.0001594677 -0.0824224602 0.8322710000 0.5442480000 -0.1054440000
-0.0461298961 0.0078925323 -0.0831064602 -0.9120160000 0.1222640000 -0.3915070000
0.0358211039 0.0083965323 -0.0833264602 0.7050770000 0.7071040000 -0.0535830000
0.0397041039 0.0041975323 -0.0825064602 0.7846570000 0.6171000000 -0.0591660000
-0.0443598961 0.0137445323 -0.0828534602 -0.8410770000 0.3207220000 -0.4355770000
0.0269881039 0.0164585323 -0.0827994602 0.6021660000 0.7975250000 -0.0367400000
0.0320481039 0.0124585323 -0.0828334602 0.6788520000 0.7330990000 -0.0415530000
-0.0418818961 0.0188615323 -0.0830104602 -0.7950700000 0.3525910000 -0.4935000000
-0.0403048961 0.0232295323 -0.0828014602 -0.8098020000 0.3693870000 -0.4558220000
0.0130611039 0.0242345323 -0.0833134602 0.4347790000 0.8985970000 -0.0590820000
0.0180401039 0.0222385323 -0.0829184602 0.4609480000 0.8857150000 -0.0550940000
0.0231601039 0.0195185323 -0.0826474602 0.5484960000 0.8358110000 -0.0239240000
-0.0367528961 0.0297005323 -0.0829044602 -0.6464030000 0.6404180000 -0.4147620000
-0.0291098961 0.0327745323 -0.0829484602 -0.1702760000 0.9772470000 -0.1264670000
-0.0211948961 0.0332205323 -0.0829724602 -0.0042550000 0.9957670000 -0.0918180000
-0.0136978961 0.0328985323 -0.0827974602 0.0787510000 0.9942140000 -0.0730560000
-0.0061548961 0.0315605323 -0.0830924602 0.1807840000 0.9814740000 -0.0634470000
0.0028691039 0.0286885323 -0.0829704602 0.3058980000 0.9493660000 -0.0716340000
0.0083121039 0.0270875323 -0.0829424602 0.3490800000 0.9343410000 -0.0717620000
