x y z nx ny nz
-0.0384415585 -0.0218406774 -0.0426268569 -0.6838880000 -0.7278080000 -0.0509150000
-0.0321245585 -0.0256116774 -0.0423538569 -0.3820740000 -0.9188580000 0.0985910000
-0.0240695585 -0.0264886774 -0.0425238569 0.0394780000 -0.9961570000 0.0781830000
-0.0157885585 -0.0255096774 -0.0428638569 0.0953950000 -0.9935270000 0.0616700000
-0.0089395585 -0.0250596774 -0.0428098569 0.0688240000 -0.9960000000 -0.0569900000
0.0003754415 -0.0244826774 -0.0429658569 0.0583670000 -0.9958450000 -0.0699010000
0.0074064415 -0.0240866774 -0.0428188569 0.0584320000 -0.9963670000 -0.0619550000
0.0165054415 -0.0236126774 -0.0427878569 0.0518870000 -0.9981200000 -0.0326120000
0.0233594415 -0.0233306774 -0.0427388569 0.0602300000 -0.9980060000 -0.0188620000
0.0313624415 -0.0231456774 -0.0426858569 0.0717840000 -0.9971870000 -0.0215610000
0.0391604415 -0.0219886774 -0.0423778569 0.3497570000 -0.9349480000 -0.0595080000
0.0438024415 -0.0196096774 -0.0432748569 0.6514470000 -0.7539220000 -0.0849640000
-0.0424915585 -0.0153466774 -0.0423568569 -0.9297550000 -0.3644640000 -0.0521780000
0.0436054415 -0.0193396774 -0.0421268569 0.5839020000 -0.8037210000 -0.1144150000
0.0471974415 -0.0157126774 -0.0423098569 0.8139290000 -0.5735930000 -0.0922520000
-0.0443115585 -0.0050506774 -0.0424808569 -0.9981830000 -0.0533470000 -0.0280130000
-0.0438315585 -0.0079696774 -0.0423878569 -0.9947740000 -0.0988690000 -0.0255010000
0.0504474415 -0.0076736774 -0.0423658569 0.9914920000 -0.1163800000 -0.0583070000
-0.0446615585 0.0015203226 -0.0423908569 -0.9957170000 -0.0890560000 -0.0248390000
-0.0439595585 -0.0019066774 -0.0424278569 -0.9970460000 -0.0738050000 -0.0212740000
0.0500574415 0.0001763226 -0.0423688569 0.9964870000 0.0787590000 -0.0284720000
-0.0447805585 0.0078223226 -0.0423828569 -0.9956460000 0.0790310000 -0.0494280000
-0.0439295585 0.0114243226 -0.0424348569 -0.9553640000 0.2874880000 -0.0680390000
0.0495824415 0.0081813226 -0.0423978569 0.9910640000 0.1269730000 -0.0408760000
-0.0417085585 0.0161343226 -0.0423428569 -0.8447490000 0.5310380000 -0.0663140000
0.0477994415 0.0161203226 -0.0423908569 0.9185360000 0.3916000000 -0.0542360000
-0.0371565585 0.0211863226 -0.0418068569 -0.5637990000 0.8224250000 -0.0758110000
-0.0324385585 0.0231013226 -0.0423318569 -0.2993050000 0.9523970000 -0.0579270000
-0.0241575585 0.0239103226 -0.0424708569 -0.0488620000 0.9987240000 -0.0127880000
-0.0160995585 0.0241573226 -0.0424438569 -0.0488540000 0.9987990000 -0.0036170000
-0.0085015585 0.0243313226 -0.0422358569 -0.0448250000 0.9989680000 -0.0073200000
0.0000464415 0.0249643226 -0.0425608569 -0.0682450000 0.9972750000 -0.0280230000
0.0078234415 0.0252573226 -0.0424358569 -0.0648140000 0.9970080000 -0.0421110000
0.0163094415 0.0258493226 -0.0425368569 -0.0759360000 0.9964900000 -0.0352340000
0.0240634415 0.0265313226 -0.0423078569 -0.0903530000 0.9953790000 -0.0325170000
0.0318194415 0.0275453226 -0.0423508569 0.0038660000 0.9998080000 -0.0192300000
0.0395884415 0.0253223226 -0.0423188569 0.4268480000 0.9033180000 -0.0426290000
0.0448874415 0.0212983226 -0.0423848569 0.6687830000 0.7411920000 -0.0580000000
