x y z nx ny nz
0.0140033439 -0.0254575244 -0.0515535073 0.3199940000 -0.9299360000 -0.1811720000
-0.0217036561 -0.0177415244 -0.0517045073 -0.2568730000 -0.9649970000 -0.0528880000
-0.0161436561 -0.0187395244 -0.0515565073 -0.2116240000 -0.9771830000 -0.0181020000
-0.0086396561 -0.0202765244 -0.0516375073 -0.2078610000 -0.9780950000 -0.0111120000
-0.0003806561 -0.0220795244 -0.0515905073 -0.2014480000 -0.9794510000 -0.0097270000
0.0077653439 -0.0237885244 -0.0516265073 -0.1801070000 -0.9835500000 -0.0138310000
0.0161503439 -0.0227145244 -0.0516485073 0.6989520000 -0.7124940000 -0.0617900000
-0.0245576561 -0.0136265244 -0.0515545073 -0.9531450000 -0.2840090000 -0.1041770000
0.0189463439 -0.0137085244 -0.0514855073 0.9795660000 -0.2011240000 0.0008190000
0.0199053439 -0.0103495244 -0.0516835073 0.9784810000 -0.2062860000 0.0045760000
-0.0235056561 -0.0049695244 -0.0516335073 -0.9836470000 0.1793070000 -0.0169750000
0.0208423439 -0.0049015244 -0.0517045073 0.9771430000 -0.2125720000 0.0023590000
-0.0220086561 0.0026774756 -0.0515865073 -0.9828820000 0.1841300000 -0.0062340000
0.0225643439 0.0031424756 -0.0516825073 0.9761730000 -0.2169800000 0.0023640000
-0.0208236561 0.0089434756 -0.0516315073 -0.9783640000 0.2063160000 -0.0154380000
-0.0197516561 0.0128784756 -0.0515195073 -0.9579550000 0.2859940000 -0.0230370000
0.0242193439 0.0108594756 -0.0516905073 0.9871410000 -0.1574740000 -0.0274520000
-0.0184906561 0.0187954756 -0.0516445073 -0.9633530000 0.2669540000 -0.0262080000
-0.0056726561 0.0223754756 -0.0515695073 0.2025170000 0.9790440000 -0.0214540000
0.0000703439 0.0215724756 -0.0517155073 0.2190210000 0.9757190000 -0.0015440000
0.0079963439 0.0196214756 -0.0515065073 0.2201160000 0.9754660000 -0.0039170000
0.0164303439 0.0180444756 -0.0515345073 0.2276140000 0.9737450000 -0.0036690000
0.0228383439 0.0164024756 -0.0517275073 0.4657950000 0.8824770000 -0.0653380000
-0.0162706561 0.0245964756 -0.0516405073 -0.7704590000 0.6323430000 -0.0808390000
-0.0088406561 0.0239804756 -0.0514565073 0.1344440000 0.9875390000 -0.0817960000
-0.0018286561 0.0229204756 -0.0515455073 0.2198680000 0.9755120000 -0.0059330000
0.0113583439 -0.0252085244 -0.0464925073 -0.0671000000 -0.9977460000 -0.0005550000
0.0142513439 -0.0255065244 -0.0467065073 0.4058760000 -0.9137110000 -0.0198960000
-0.0222046561 -0.0177475244 -0.0465995073 -0.2537820000 -0.9671950000 -0.0113180000
-0.0162926561 -0.0187945244 -0.0465455073 -0.2074120000 -0.9782060000 -0.0097030000
-0.0082906561 -0.0204645244 -0.0465795073 -0.2083960000 -0.9780150000 -0.0076090000
-0.0003106561 -0.0221805244 -0.0466145073 -0.1979870000 -0.9801820000 -0.0066880000
0.0075593439 -0.0237495244 -0.0465665073 -0.1936660000 -0.9810530000 -0.0052490000
0.0162773439 -0.0222685244 -0.0468135073 0.7609370000 -0.6487770000 -0.0079610000
-0.0246426561 -0.0138395244 -0.0465705073 -0.9653010000 -0.2596780000 -0.0275980000
0.0189183439 -0.0135645244 -0.0465385073 0.9798540000 -0.1996840000 0.0035920000
0.0198623439 -0.0100625244 -0.0466645073 0.9787000000 -0.2052380000 0.0048220000
-0.0235766561 -0.0052965244 -0.0465395073 -0.9834990000 0.1805410000 -0.0116140000
0.0196123439 -0.0080105244 -0.0458975073 0.9781720000 -0.2077370000 0.0049100000
0.0207613439 -0.0050735244 -0.0467935073 0.9769920000 -0.2131680000 0.0068040000
-0.0220436561 0.0028914756 -0.0465865073 -0.9817250000 0.1898710000 -0.0128760000
0.0224783439 0.0028294756 -0.0465465073 0.9765370000 -0.2152650000 0.0060450000
-0.0208346561 0.0092704756 -0.0464095073 -0.9781560000 0.2074830000 -0.0127270000
-0.0198226561 0.0129074756 -0.0468455073 -0.9732100000 0.2295560000 -0.0129100000
0.0242163439 0.0107654756 -0.0465805073 0.9874710000 -0.1577040000 0.0055380000
-0.0185106561 0.0188794756 -0.0465325073 -0.9663620000 0.2570070000 -0.0096310000
-0.0063266561 0.0224864756 -0.0465345073 0.2033930000 0.9790190000 -0.0124010000
0.0003003439 0.0215604756 -0.0465655073 0.2171680000 0.9761070000 -0.0072970000
0.0079033439 0.0198554756 -0.0465405073 0.2214650000 0.9751650000 -0.0025160000
0.0154553439 0.0182024756 -0.0466145073 0.2232370000 0.9747640000 -0.0008940000
0.0225863439 0.0165364756 -0.0463585073 0.4326190000 0.9015560000 -0.0061310000
-0.0160506561 0.0246174756 -0.0465435073 -0.7174230000 0.6964740000 -0.0150870000
-0.0089686561 0.0238884756 -0.0467765073 0.1555240000 0.9876050000 -0.0211770000
-0.0035536561 0.0232834756 -0.0470855073 0.2161160000 0.9763600000 -0.0039190000
0.0112143439 -0.0252855244 -0.0385505073 0.1237000000 -0.9923080000 -0.0048050000
0.0143503439 -0.0254725244 -0.0383055073 0.3895910000 -0.9209880000 0.0006490000
-0.0221946561 -0.0177265244 -0.0382855073 -0.2620220000 -0.9650570000 -0.0030500000
-0.0164016561 -0.0187995244 -0.0386635073 -0.2039420000 -0.9789830000 -0.0005230000
-0.0083066561 -0.0205035244 -0.0385945073 -0.2088630000 -0.9779400000 0.0031020000
-0.0003816561 -0.0221705244 -0.0384745073 -0.1994240000 -0.9799130000 -0.0000890000
0.0075803439 -0.0237625244 -0.0386115073 -0.1954390000 -0.9807100000 -0.0033860000
0.0162783439 -0.0222915244 -0.0385895073 0.7749130000 -0.6320660000 0.0010880000
-0.0247806561 -0.0135705244 -0.0386505073 -0.9762370000 -0.2161960000 -0.0148190000
0.0189173439 -0.0134345244 -0.0387645073 0.9790820000 -0.2034480000 0.0026380000
0.0198413439 -0.0099205244 -0.0380655073 0.9792210000 -0.2027470000 0.0044820000
-0.0236426561 -0.0050425244 -0.0385685073 -0.9838470000 0.1789090000 -0.0060210000
0.0196153439 -0.0084255244 -0.0396675073 0.9783740000 -0.2067940000 0.0045780000
0.0207133439 -0.0050065244 -0.0387225073 0.9771400000 -0.2125240000 0.0055960000
-0.0221126561 0.0028454756 -0.0386675073 -0.9808120000 0.1948100000 -0.0076130000
0.0224643439 0.0029334756 -0.0385305073 0.9771250000 -0.2126150000 0.0047010000
-0.0208896561 0.0094964756 -0.0383595073 -0.9779860000 0.2085560000 -0.0068760000
-0.0199166561 0.0128344756 -0.0389375073 -0.9714010000 0.2372860000 -0.0086780000
0.0241613439 0.0108554756 -0.0386075073 0.9877630000 -0.1558740000 0.0052970000
-0.0185806561 0.0186864756 -0.0385965073 -0.9668930000 0.2549980000 -0.0097400000
-0.0055676561 0.0224554756 -0.0383635073 0.2072500000 0.9782620000 -0.0072050000
0.0003543439 0.0215344756 -0.0386215073 0.2224890000 0.9749330000 -0.0020890000
0.0074373439 0.0200844756 -0.0384145073 0.2247180000 0.9744230000 0.0014110000
0.0157673439 0.0180444756 -0.0386245073 0.2218460000 0.9750810000 0.0007680000
0.0229233439 0.0164354756 -0.0388895073 0.5257480000 0.8506350000 -0.0030340000
-0.0163326561 0.0245544756 -0.0387185073 -0.7361950000 0.6766440000 -0.0130630000
-0.0094376561 0.0240284756 -0.0385765073 0.1553190000 0.9878360000 -0.0074440000
-0.0029336561 0.0232454756 -0.0382295073 0.2189230000 0.9757380000 -0.0029880000
0.0110383439 -0.0252565244 -0.0305275073 -0.1416450000 -0.9898620000 -0.0105030000
0.0141623439 -0.0255015244 -0.0304945073 0.3663550000 -0.9304750000 -0.0008600000
-0.0222586561 -0.0177565244 -0.0302935073 -0.2479780000 -0.9687600000 -0.0031590000
-0.0162636561 -0.0188305244 -0.0306665073 -0.1998660000 -0.9798140000 -0.0042130000
-0.0082906561 -0.0204855244 -0.0306095073 -0.2087870000 -0.9779490000 -0.0048110000
-0.0002586561 -0.0222205244 -0.0306105073 -0.2025220000 -0.9792500000 -0.0073990000
0.0077073439 -0.0238405244 -0.0305305073 -0.1956610000 -0.9806440000 -0.0073640000
0.0163733439 -0.0220885244 -0.0304615073 0.8047340000 -0.5936340000 0.0015660000
-0.0248626561 -0.0137725244 -0.0306045073 -0.9725490000 -0.2324200000 -0.0114210000
0.0188653439 -0.0135355244 -0.0306685073 0.9792690000 -0.2025190000 0.0042470000
0.0199063439 -0.0098485244 -0.0309745073 0.9793580000 -0.2021150000 0.0028410000
-0.0236896561 -0.0050985244 -0.0306375073 -0.9828820000 0.1840610000 -0.0080360000
0.0194573439 -0.0087505244 -0.0313135073 0.9788100000 -0.2047500000 0.0030310000
0.0206563439 -0.0051525244 -0.0306625073 0.9775600000 -0.2106030000 0.0047670000
-0.0221866561 0.0027444756 -0.0306555073 -0.9810360000 0.1937380000 -0.0058580000
0.0224143439 0.0028454756 -0.0305975073 0.9769960000 -0.2132140000 0.0043140000
-0.0209086561 0.0094664756 -0.0304735073 -0.9792250000 0.2026220000 -0.0078790000
-0.0199316561 0.0131034756 -0.0306195073 -0.9741490000 0.2255440000 -0.0128210000
0.0241283439 0.0109174756 -0.0307505073 0.9886380000 -0.1502610000 0.0042050000
-0.0186986561 0.0188094756 -0.0305825073 -0.9677120000 0.2517810000 -0.0118230000
-0.0059406561 0.0225114756 -0.0307385073 0.2168640000 0.9761990000 0.0024030000
0.0000663439 0.0215534756 -0.0305275073 0.2193410000 0.9756460000 0.0021420000
0.0077963439 0.0198804756 -0.0305955073 0.2251820000 0.9743090000 0.0039030000
0.0158633439 0.0181324756 -0.0304875073 0.2216340000 0.9751130000 0.0057530000
0.0227563439 0.0162414756 -0.0309985073 0.4644680000 0.8855860000 0.0025750000
-0.0161756561 0.0246064756 -0.0305485073 -0.7013560000 0.7127500000 -0.0093630000
-0.0090536561 0.0240284756 -0.0309575073 0.1643690000 0.9863990000 -0.0006460000
-0.0027386561 0.0231614756 -0.0301795073 0.2217060000 0.9751030000 0.0046230000
0.0110173439 -0.0252855244 -0.0228585073 0.0499240000 -0.9987510000 -0.0021840000
0.0142083439 -0.0255405244 -0.0225735073 0.3685290000 -0.9296120000 0.0030080000
-0.0223466561 -0.0177345244 -0.0224125073 -0.2555320000 -0.9667960000 -0.0029550000
-0.0162436561 -0.0188695244 -0.0226155073 -0.2044100000 -0.9788790000 -0.0036300000
-0.0083116561 -0.0205285244 -0.0225165073 -0.2106470000 -0.9775440000 -0.0059940000
-0.0003146561 -0.0222795244 -0.0225845073 -0.2020630000 -0.9793590000 -0.0050700000
0.0074993439 -0.0238495244 -0.0225705073 -0.1960870000 -0.9805700000 -0.0057460000
0.0162403439 -0.0222915244 -0.0225015073 0.7807520000 -0.6248410000 0.0004300000
-0.0249676561 -0.0136265244 -0.0225575073 -0.9747320000 -0.2230290000 -0.0125020000
0.0188693439 -0.0133985244 -0.0224875073 0.9787780000 -0.2048950000 0.0034120000
0.0199243439 -0.0099935244 -0.0223655073 0.9794300000 -0.2017770000 0.0015640000
-0.0238036561 -0.0050975244 -0.0224445073 -0.9836690000 0.1796410000 -0.0111460000
0.0195003439 -0.0085375244 -0.0219215073 0.9791550000 -0.2031020000 0.0021540000
0.0206203439 -0.0049975244 -0.0227935073 0.9783400000 -0.2069620000 0.0041510000
-0.0222846561 0.0028164756 -0.0225575073 -0.9816490000 0.1903650000 -0.0112660000
0.0223513439 0.0028624756 -0.0226305073 0.9765990000 -0.2149910000 0.0057050000
-0.0209246561 0.0097334756 -0.0224215073 -0.9772690000 0.2117820000 -0.0096510000
-0.0199616561 0.0132764756 -0.0228505073 -0.9723230000 0.2335320000 -0.0071600000
0.0240863439 0.0108674756 -0.0227375073 0.9862010000 -0.1655290000 0.0027330000
-0.0187636561 0.0188394756 -0.0225375073 -0.9690120000 0.2469600000 -0.0052340000
-0.0055426561 0.0223914756 -0.0230425073 0.2050660000 0.9787390000 0.0042400000
0.0005093439 0.0215304756 -0.0226985073 0.2233870000 0.9747240000 0.0034530000
0.0077793439 0.0198914756 -0.0225915073 0.2259260000 0.9741420000 0.0023550000
0.0152313439 0.0180664756 -0.0224855073 0.2240780000 0.9745660000 0.0032440000
0.0228073439 0.0163324756 -0.0225335073 0.4570230000 0.8894520000 0.0025130000
-0.0161966561 0.0246744756 -0.0227015073 -0.6986320000 0.7154780000 -0.0023040000
-0.0091586561 0.0238894756 -0.0222255073 0.1682740000 0.9857310000 0.0042680000
-0.0027686561 0.0231474756 -0.0228845073 0.2210010000 0.9752630000 0.0045800000
0.0109623439 -0.0252455244 -0.0140655073 -0.1388050000 -0.9902540000 -0.0114140000
0.0142853439 -0.0255405244 -0.0143415073 0.3735080000 -0.9276110000 0.0055150000
-0.0223536561 -0.0177545244 -0.0146055073 -0.2442640000 -0.9697020000 -0.0036980000
-0.0163896561 -0.0188795244 -0.0145755073 -0.2071630000 -0.9782940000 -0.0049680000
-0.0083186561 -0.0205795244 -0.0145345073 -0.2105740000 -0.9775600000 -0.0059760000
-0.0003606561 -0.0223085244 -0.0145005073 -0.2030330000 -0.9791550000 -0.0056870000
0.0074613439 -0.0238825244 -0.0145515073 -0.1960090000 -0.9805770000 -0.0069560000
0.0162543439 -0.0221475244 -0.0145685073 0.8004950000 -0.5993320000 0.0029910000
-0.0250326561 -0.0136555244 -0.0145075073 -0.9741870000 -0.2254540000 -0.0114420000
0.0188683439 -0.0132785244 -0.0143985073 0.9782500000 -0.2073680000 0.0051360000
0.0198693439 -0.0099485244 -0.0144385073 0.9788630000 -0.2044820000 0.0037570000
-0.0239036561 -0.0052465244 -0.0146445073 -0.9818890000 0.1891910000 -0.0100700000
0.0196433439 -0.0079255244 -0.0142815073 0.9737580000 -0.2275800000 -0.0018800000
0.0206413439 -0.0049965244 -0.0146335073 0.9785390000 -0.2060500000 0.0021990000
-0.0223456561 0.0028194756 -0.0146835073 -0.9810920000 0.1933820000 -0.0078920000
0.0223363439 0.0028704756 -0.0145085073 0.9767400000 -0.2144180000 0.0021740000
-0.0210346561 0.0095854756 -0.0146415073 -0.9776870000 0.2099320000 -0.0075270000
-0.0199746561 0.0133984756 -0.0148455073 -0.9716480000 0.2363340000 -0.0067610000
0.0240413439 0.0108044756 -0.0146225073 0.9876200000 -0.1568540000 0.0016310000
-0.0187706561 0.0189064756 -0.0143885073 -0.9658030000 0.2592300000 -0.0050200000
-0.0058116561 0.0224034756 -0.0152125073 0.2131550000 0.9770180000 0.0000180000
-0.0001786561 0.0215784756 -0.0144955073 0.2186320000 0.9758070000 0.0011680000
0.0075113439 0.0199554756 -0.0146575073 0.2250780000 0.9743390000 0.0018940000
0.0155923439 0.0180864756 -0.0144335073 0.2242260000 0.9745360000 0.0014870000
0.0226713439 0.0162394756 -0.0145475073 0.5109890000 0.8595860000 -0.0015240000
-0.0162636561 0.0245164756 -0.0145815073 -0.6768480000 0.7361150000 -0.0034040000
-0.0091806561 0.0239614756 -0.0143925073 0.1597850000 0.9871460000 -0.0033390000
-0.0030996561 0.0231824756 -0.0150015073 0.2208740000 0.9752990000 0.0025600000
0.0111773439 -0.0252965244 -0.0068215073 -0.1354500000 -0.9907690000 -0.0054170000
0.0142713439 -0.0255835244 -0.0067665073 0.3682890000 -0.9297070000 0.0030070000
-0.0224406561 -0.0177915244 -0.0066115073 -0.2407850000 -0.9705700000 -0.0039470000
-0.0162936561 -0.0189275244 -0.0066425073 -0.2075450000 -0.9782150000 -0.0044760000
-0.0082646561 -0.0206455244 -0.0066325073 -0.2108040000 -0.9775190000 -0.0042570000
-0.0003216561 -0.0223385244 -0.0064005073 -0.2034990000 -0.9790690000 -0.0034850000
0.0075513439 -0.0239495244 -0.0065305073 -0.1960890000 -0.9805740000 -0.0047880000
0.0162243439 -0.0221285244 -0.0067245073 0.8135580000 -0.5814780000 0.0025900000
-0.0251286561 -0.0137115244 -0.0065835073 -0.9759270000 -0.2180140000 -0.0061180000
0.0188043439 -0.0133725244 -0.0065275073 0.9773250000 -0.2116940000 0.0047260000
0.0198503439 -0.0099575244 -0.0065675073 0.9788310000 -0.2046050000 0.0051940000
-0.0239616561 -0.0051885244 -0.0065955073 -0.9822650000 0.1873950000 -0.0062940000
0.0196453439 -0.0084435244 -0.0066655073 0.9791170000 -0.2032780000 0.0028080000
0.0206153439 -0.0049115244 -0.0066125073 0.9780760000 -0.2082270000 0.0029610000
-0.0223796561 0.0028874756 -0.0065935073 -0.9807950000 0.1949710000 -0.0052670000
0.0222833439 0.0027444756 -0.0064785073 0.9769150000 -0.2135970000 0.0035480000
-0.0209906561 0.0100604756 -0.0066125073 -0.9769470000 0.2134550000 -0.0033600000
-0.0200036561 0.0130734756 -0.0065295073 -0.9671000000 0.2543810000 -0.0027800000
0.0240153439 0.0106984756 -0.0065045073 0.9879790000 -0.1545340000 0.0041940000
-0.0188526561 0.0187184756 -0.0064105073 -0.9676650000 0.2522400000 -0.0005780000
-0.0060236561 0.0224694756 -0.0070405073 0.2165000000 0.9762810000 -0.0015140000
0.0001303439 0.0214964756 -0.0065405073 0.2232490000 0.9747610000 0.0002480000
0.0078093439 0.0198444756 -0.0065495073 0.2257280000 0.9741880000 0.0022940000
0.0159983439 0.0179634756 -0.0066525073 0.2239410000 0.9745990000 0.0025810000
0.0230143439 0.0161174756 -0.0064555073 0.5392730000 0.8421220000 0.0038940000
-0.0161256561 0.0245984756 -0.0065505073 -0.6702560000 0.7421100000 0.0054780000
-0.0092846561 0.0239864756 -0.0065325073 0.1680060000 0.9857830000 -0.0023740000
-0.0030286561 0.0231714756 -0.0066245073 0.2216460000 0.9751270000 0.0008150000
0.0108763439 -0.0252735244 0.0018244927 -0.1562830000 -0.9876900000 -0.0066180000
0.0142703439 -0.0255615244 0.0013844927 0.3491060000 -0.9370830000 0.0009290000
-0.0225016561 -0.0177805244 0.0014354927 -0.2538880000 -0.9672230000 -0.0045190000
-0.0163136561 -0.0189675244 0.0013864927 -0.2068710000 -0.9783450000 -0.0067740000
-0.0083046561 -0.0206775244 0.0015174927 -0.2075820000 -0.9782060000 -0.0047170000
-0.0002716561 -0.0224015244 0.0016094927 -0.2035780000 -0.9790470000 -0.0048860000
0.0074763439 -0.0239655244 0.0013824927 -0.1976160000 -0.9802610000 -0.0060220000
0.0162543439 -0.0220485244 0.0014114927 0.8331200000 -0.5530900000 0.0013840000
-0.0251866561 -0.0135915244 0.0013724927 -0.9806860000 -0.1954490000 -0.0073250000
0.0187833439 -0.0133105244 0.0014114927 0.9770650000 -0.2128750000 0.0053010000
0.0198963439 -0.0098415244 0.0012584927 0.9781990000 -0.2076070000 0.0051050000
-0.0239766561 -0.0049905244 0.0013264927 -0.9829830000 0.1836600000 -0.0036990000
0.0194663439 -0.0085585244 0.0008454927 0.9781830000 -0.2077150000 0.0034460000
0.0205623439 -0.0050845244 0.0013294927 0.9780530000 -0.2083250000 0.0037190000
-0.0224156561 0.0029574756 0.0014494927 -0.9801320000 0.1983050000 -0.0040510000
0.0222723439 0.0027934756 0.0013804927 0.9768160000 -0.2140510000 0.0036340000
-0.0210326561 0.0099104756 0.0012464927 -0.9765100000 0.2154680000 -0.0012870000
-0.0199766561 0.0135144756 0.0017274927 -0.9700840000 0.2427670000 -0.0005890000
0.0239673439 0.0107104756 0.0014224927 0.9868650000 -0.1615450000 0.0007280000
-0.0187956561 0.0188654756 0.0014114927 -0.9661900000 0.2578290000 -0.0007580000
-0.0057346561 0.0224004756 0.0016234927 0.2161060000 0.9763700000 0.0006240000
0.0003433439 0.0215034756 0.0013294927 0.2253940000 0.9742620000 0.0034360000
0.0075643439 0.0198714756 0.0014954927 0.2278440000 0.9736750000 0.0066600000
0.0154993439 0.0179514756 0.0013504927 0.2233180000 0.9747190000 0.0071970000
0.0227053439 0.0163304756 0.0016794927 0.4752320000 0.8798460000 0.0050310000
-0.0164226561 0.0245344756 0.0015384927 -0.7262320000 0.6874490000 0.0010570000
-0.0089566561 0.0238824756 0.0014644927 0.1761510000 0.9843630000 -0.0003790000
-0.0026866561 0.0230624756 0.0016474927 0.2219370000 0.9750540000 0.0037100000
0.0107753439 -0.0252795244 0.0095494927 -0.1637770000 -0.9864840000 -0.0051810000
0.0141853439 -0.0255745244 0.0095274927 0.2872350000 -0.9578590000 0.0013060000
-0.0225236561 -0.0178265244 0.0094404927 -0.2580560000 -0.9661040000 -0.0071170000
-0.0163736561 -0.0190275244 0.0094544927 -0.2073180000 -0.9782430000 -0.0077940000
-0.0083316561 -0.0207015244 0.0095134927 -0.2067150000 -0.9783790000 -0.0066300000
-0.0002916561 -0.0224325244 0.0094394927 -0.2052820000 -0.9786850000 -0.0059150000
0.0074813439 -0.0240065244 0.0093524927 -0.1968790000 -0.9804130000 -0.0054520000
0.0162093439 -0.0221415244 0.0095304927 0.8279110000 -0.5608500000 0.0032750000
-0.0252316561 -0.0137245244 0.0094834927 -0.9748540000 -0.2227650000 -0.0059210000
0.0187523439 -0.0131575244 0.0094964927 0.9767330000 -0.2143090000 0.0080340000
0.0198103439 -0.0099325244 0.0089794927 0.9776970000 -0.2099430000 0.0056500000
-0.0240516561 -0.0052545244 0.0094284927 -0.9818560000 0.1895820000 -0.0041660000
0.0195273439 -0.0081685244 0.0100784927 0.9776520000 -0.2101290000 0.0065120000
0.0205543439 -0.0050045244 0.0093874927 0.9778250000 -0.2093590000 0.0052210000
-0.0224726561 0.0027834756 0.0094184927 -0.9802580000 0.1976780000 -0.0041760000
